Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
2580000,1.3136089,179.72222222222223,108.4049,858.5407447550032,858.5407447550032,1.0
2590000,1.3134112,184.3148148148148,103.644905,835.3370373160751,835.3370373160751,1.0
2600000,1.3130226,189.66666666666666,105.717636,861.1056611785349,861.1056611785349,1.0
2610000,1.3128605,169.77586206896552,109.10102,835.1525426315048,835.1525426315048,1.0
2620000,1.3123605,189.17307692307693,104.314,816.2326930669637,816.2326930669637,1.0
2630000,1.3122721,172.39655172413794,107.91887,851.8793087401267,851.8793087401267,1.0
2640000,1.3119193,179.0,108.79208,867.8982138242573,867.8982138242573,1.0
2650000,1.3117887,177.0909090909091,106.96282,821.0722198828503,821.0722198828503,1.0
2660000,1.3108957,177.75862068965517,106.50524,816.1932198475984,816.1932198475984,1.0
2670000,1.3107901,181.84615384615384,105.31494,847.0403869301081,847.0403869301081,1.0
2680000,1.3098162,193.25,100.23261,835.6019225139171,835.6019225139171,1.0
2690000,1.309777,178.71428571428572,103.44276,865.9285766056606,865.9285766056606,1.0
2700000,1.3089097,177.21052631578948,109.22607,853.092856480607,853.092856480607,1.0
2710000,1.3089037,174.47169811320754,102.05314,814.6685166590744,814.6685166590744,1.0
2720000,1.3084443,217.45833333333334,101.86998,922.1104175771276,922.1104175771276,1.0
2730000,1.3084443,197.30188679245282,100.39303,2760.128305446427,2760.128305446427,1.0
2740000,1.3077238,187.3653846153846,109.58326,843.6019258771378,843.6019258771378,1.0
2750000,1.3076823,179.6346153846154,115.43935,858.3999987680179,858.3999987680179,1.0
2760000,1.3072075,191.72727272727272,112.21135,870.1925939807186,870.1925939807186,1.0
2770000,1.3071442,178.2962962962963,113.10431,795.1836381397464,795.1836381397464,1.0
2780000,1.3065567,174.0,112.91129,817.0036354135383,817.0036354135383,1.0
2790000,1.3064392,197.90384615384616,112.73301,858.7094310274664,858.7094310274664,1.0
2800000,1.30566,178.875,117.72507,826.8785693315523,826.8785693315523,1.0
2810000,1.3054523,180.25925925925927,108.96828,2687.38521360468,2687.38521360468,1.0
2820000,1.3050463,177.66037735849056,112.72362,807.6792449591295,807.6792449591295,1.0
2830000,1.304886,188.75438596491227,108.06755,777.0714288566794,777.0714288566794,1.0
2840000,1.3046246,176.35849056603774,113.9267,818.3500030191133,818.3500030191133,1.0
2850000,1.3044865,189.3272727272727,115.249016,852.8181856263767,852.8181856263767,1.0
2860000,1.3043789,173.3728813559322,118.99607,2530.8379310081746,2530.8379310081746,1.0
2870000,1.3043042,191.52,114.160255,869.1679999823868,869.1679999823868,1.0
2880000,1.3040987,184.33928571428572,117.64527,824.169641887503,824.169641887503,1.0
2890000,1.3039199,185.12,114.95022,886.1196099379483,886.1196099379483,1.0
2900000,1.30353,201.28846153846155,115.773575,824.351921646211,824.351921646211,1.0
2910000,1.3031456,205.625,113.22391,2978.454231649637,2978.454231649637,1.0
2920000,1.3032215,181.6727272727273,119.01345,886.7818189344623,886.7818189344623,1.0
2930000,1.3033181,182.48076923076923,116.970375,861.6588266122283,861.6588266122283,1.0
2940000,1.3031456,186.96428571428572,113.84798,837.4140395051554,837.4140395051554,1.0
2950000,1.302841,183.58490566037736,119.16964,890.9566084663822,890.9566084663822,1.0
2960000,1.3027667,207.25,113.61079,952.0166632311108,952.0166632311108,1.0
2970000,1.302613,189.86274509803923,116.16916,863.709801084855,863.709801084855,1.0
2980000,1.3023643,205.3125,116.342445,891.2520881290548,891.2520881290548,1.0
2990000,1.3017464,201.54901960784315,116.68563,929.4509838141647,929.4509838141647,1.0
3000000,1.3015683,181.4655172413793,117.47638,865.7052646101566,865.7052646101566,1.0
